item_id,message,reply,reference,human_overall
h029,Why do I pay $10 a month for @115888 when it cuts out for 2 seconds like 20 times a song lol 🙃🙃,Hey there! Can you DM us your account's email address or username? We'll take a look,"Hey there! Can you let us know which device and operating system you're using? Also, is this happening over WiFi or 3G/4G?",3.0
h030,hey @SpotifyCares theres something wrong with my client can you help,Hi! We've just sent you a bit more info over DM. We'll carry on helping out there,Hey there! What's happening exactly? Could you DM us you account's username and email address? We'll see what we can suggest,5.0
h031,@SpotifyCares can I change the download limit on my phone? To be able to download more songs?,Thanks for the feedback — we've shared it with the team. DM us any details you'd like us to pass on.,Hi Cameron! We've just sent a DM your way. Let's carry on chatting there,5.0
h032,I have been waiting over a year now for @115888 to be available in my country.,Thanks for reaching out! DM us the details and we'll take a look.,Hey there! We're launching in new countries as often as possible. Sign up here to be first to hear: 🙂,4.0
h033,"@SpotifyCares I need some help accessing my account, I have changed my email address so cannot use the reset password link. Please HEEELPP",Hey Lindsay! We'll help out. Can you DM us your account's email address or username? We'll take a look under the hood,Hey there! Can you DM us your account's email address? We'll take a look backstage,5.0
h034,hey @SpotifyCares theres something wrong with my client can you help,"Sorry for the trouble! Please DM us your device, OS, and app version so we can dig in.",Hey there! What's happening exactly? Could you DM us you account's username and email address? We'll see what we can suggest,5.0
h035,Hey @SpotifyCares My premium payment failed but my card is good! I've tried to re-enter my info but keep getting the same error message!,Hey there! We can certainly help with that. Could you send us a DM with your account's email address? We'll take a look backstage.,"Hey Colette! Don't worry, we can look into this for you. Can you DM us your account's email address? We'll check things backstage",4.0
h036,@115888 but when will we be able to see how long our play queue is,"Hey there! We don't have info on this right now, but we appreciate you sharing it. We'll be sure to pass your feedback on to the relevant folks!",Hey! We have more info about the Play Queue at Let us know if there's anything else,3.0
h037,@115888 Where the hell are my buttons to access library and so on? #UIDisaster On th verge of switching if you don’t stop messing with the UI. https://t.co/NfDF1SH5pK,Thanks for the feedback — we've shared it with the team. DM us any details you'd like us to pass on.,"Hey Kyle, that's not cool! What Android and Spotify version are you using? We'll see what we can suggest",3.0
h038,"@SpotifyCares when can we expect an update for the roku app? The UI is dreadful, especially considering roku's my primary device.","Hey there! We hear you. We don't have any info on this right now, but rest assured your feedback about the Roku app UI will be passed on to the right folks. Let us know if you have any other questions!","Hey! We don't have a specific timeline. Rest assured, your feedback is being heard while we work with Roku on the best path forwards",5.0
h039,"Mereka pake bhs. Inggris, intinya sy mau berhenti langganan, tp gabisa masuk akun.. Udh itu aja gausah dilempar sana sini, klo bisa bantu https://t.co/f3pNLe0xu6",Hey! We suggest deleting your previous tweet as it contains some payment info. Can you DM it to us instead using the link below?,Hey Refki! We'd be happy to help you out in English here on Twitter. Could you DM us your account's email address? We'll check backstage,3.0
h040,Keep the flow with ad-free music. Premium is just S$0.99 for 3 months. https://t.co/sC193hVJar,Thanks for reaching out! DM us the details and we'll take a look.,Hey Wendy! Can you DM us your account's email address? We'll take a look backstage,5.0
h041,"I have Spotify premium and my music won't play, even on wifi. Cool thanks for wasting my money. @115888","Sorry for the trouble! Please DM us your device, OS, and app version so we can dig in.",Hey there! Could you DM us your account's username and email address? We'll take a look backstage,5.0
h042,@SpotifyCares can I change the download limit on my phone? To be able to download more songs?,"1: Hey Danny! We don't have any info on this right now, but we'll let the right team know it's something you'd like to see.",Hi Cameron! We've just sent a DM your way. Let's carry on chatting there,1.0
h043,@hulu_support @SpotifyCares Hulu randomly stopped working with my spotify account. Can I please have some help?,"Sorry for the trouble! Please DM us your device, OS, and app version so we can dig in.",Hey there! Is there anything we can help with? Just let us know what's happening exactly. We'd love to lend a hand,3.0
h044,"@SpotifyCares Hi, i want to upgrade to premium. On computer i get the offer ""3. months for 99,00 kr."", but on playstation i dont see the offer. Is it possible to use this offer on playstation?","Hey there, the offer will end on the 31st of Dec 2017. Strike while the iron's hot! 🔥",Hey Morten! We've just sent you a bit more info over DM. We'll carry on helping out there,3.0
h045,hey @SpotifyCares theres something wrong with my client can you help,Hey there! That doesn't sound good. Could you let us know what's happening with the app and what device you're using? We'll see what we can suggest.,Hey there! What's happening exactly? Could you DM us you account's username and email address? We'll see what we can suggest,5.0
h046,Damn bih i need to figure out how to get related artists on my @125633  TOO many Bay Area artists snappin... https://t.co/39AJv2P9u1,"Hey! This sounds like something for our Artist team. You can reach them here: If you've reached out already, can you DM us your email address? We'll chase it up, don't worry",Hey there! Related Artists aren’t manually curated. Check out for more info,5.0
h047,"yo @115888 why dont you have Goofy Movie's ""Stand Out"" on there, @757529 needs answers",Hey! We’ll have it available to you as soon as it’s available to us! Fingers crossed it's soon.,"Hey there! Just to check, what country is your Spotify account set to?",5.0
h048,"@117153 Hi, can you link UPPBEAT - Embers (feat. Lawriii Craic &amp; Red The Future) to my Red The Future spotify account?",Thanks for reaching out! DM us the details and we'll take a look.,Hey there! We’d recommend reaching out to your distributor. They'll work with our team to make sure your artist page gets fixed up,5.0
h049,Hmm @115888 nagging me to review the app even though... https://t.co/yoWomdPPCP,Hi there! Sorry for the interruption. Can you let us know the device and Spotify version you're using? We'd love to look into this for you!,"Hey there! Can you let us know the device, operating system, and app version you're using? We'll see what we can suggest",5.0
h050,@SpotifyCares just sign up for the premium after Logging in seem is not can’t play any song like .,Thanks for flagging — please DM us the email on the account and we'll review the charge.,"Hey Jonathan, help's here! Can you DM us your account's username and email address? We'll check it out 🔍",5.0
h051,@SpotifyCares can i download podcasts to a samsung gear sport and listen to offline or it only works with music?,Hey there! Could you send us a DM with your account's email address or username? We'll take a look backstage,"Hey Alvaro! That'd be awesome, but it only works with music. We'll let the right team know it's something you'd like to see 😉",1.0
h052,"I have Spotify premium and my music won't play, even on wifi. Cool thanks for wasting my money. @115888","Hey! That's definitely not what you should expect with Premium. We can help with this. What's happening exactly, and what device are you using? We'll take a look!",Hey there! Could you DM us your account's username and email address? We'll take a look backstage,5.0
h053,"@115888 hi, last month you had a #Laurynhill #live #megamix in a discovery playlist..... I NEED it in my life....can you find it?",Hey there! We can see how that’d be handy. Thanks for taking the time to reach out – your feedback's been noted 📝,"Hi there! Don't worry, help's here. Just to clarify, could you let us know the name of the song you're referring to?",4.0
h054,Hmm @115888 nagging me to review the app even though... https://t.co/yoWomdPPCP,Thanks for the feedback — we've shared it with the team. DM us any details you'd like us to pass on.,"Hey there! Can you let us know the device, operating system, and app version you're using? We'll see what we can suggest",2.0
h055,"I have Spotify premium and my music won't play, even on wifi. Cool thanks for wasting my money. @115888","Hey, help's here! Can you tell us what's happening exactly? We'll lend a hand",Hey there! Could you DM us your account's username and email address? We'll take a look backstage,4.0
h056,"@115888 Hi my name is Diana and I do not have an account with you guys, but I have recently had unauthorized charges on my bank account for Spotify since August 8, 2017 of $9.99. Multiple charges followed of the same amount September &amp; October.","Hey Diana, that's definitely not cool! Can you DM us the email address or details associated with the charges so we can take a look under the hood and help sort this out for you?","Hey Diana! Don't worry, we're here to help. Can you send us any email addresses you have via DM? We'll check backstage",5.0
h057,@SpotifyCares When I try to update payment info it won't let me bc I'm no longer a student. Do I have to cancel and re subscribe to premium?,Hey Marvin! The cavalry's here. Can you DM us your account's username or email address? We'll take a look backstage,Hey Charlie! The cavalry's here. Can you DM us your account's email address? We'll take a look under the hood,3.0
h058,@SpotifyCares when is spotify coming to romania :/,"Hey, help's arrived! We've just replied to your DM. Let's carry on chatting there","Soon, we hope! We're launching in new countries as often as possible. Sign up here to be first to hear:",2.0
h059,Is it only me? or @115888 browse is broken?,"Sorry for the trouble! Please DM us your device, OS, and app version so we can dig in.","Hi, help's here! Can you let us know your desktop's OS and Spotify versions? We'll see what we can suggest",5.0
h060,Hmm @115888 nagging me to review the app even though... https://t.co/yoWomdPPCP,Hi there! Can you let us know the iOS and Spotify versions you’re using? We'll see what we can suggest,"Hey there! Can you let us know the device, operating system, and app version you're using? We'll see what we can suggest",5.0
h061,@SpotifyCares please help! Just updated to iOS 11 and the widget keeps getting locked from lock screen on song I’m not actually on... https://t.co/W4lDN0tewQ,Hey! That's not cool. Can you let us know if restarting your device and logging out and back in helps fix the widget? Keep us posted!,"Hey Seth, help's here! Can you let us know the iPhone model and Spotify version you're using? We'll see what we can suggest",5.0
h062,"@SpotifyCares Hi, i want to upgrade to premium. On computer i get the offer ""3. months for 99,00 kr."", but on playstation i dont see the offer. Is it possible to use this offer on playstation?",Thanks for flagging — please DM us the email on the account and we'll review the charge.,Hey Morten! We've just sent you a bit more info over DM. We'll carry on helping out there,5.0
h063,@115888 every time I pause my music to watch a video on Twitter I have to kill the Spotify app and reopen it just so my music will play again. Send help pls and thnx.,Hey Kami! Can you tell us the specific device/OS and Spotify versions you have? We'll see what we can suggest,"Hey, help's here! Can you let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest",4.0
h064,please have @248108 albums on @115888,"Hey there! We’d love to have all of their music available, but sometimes content gets temporarily removed or isn't on the platform yet due to licensing. Hopefully we'll have it available soon!","Hey there! We’d love to have all of that available, but we have some info about content here:",5.0
h065,@SpotifyCares I’ve caught this unknown device a few times already. Should I change passwords? @389450 https://t.co/35sMHQxD1e,Hey Dom! Sorry to hear this happened. We've just sent you a bit more info over DM. We'll carry on helping out there,Hey! Help's here. Can you DM us your account's email address? We'll take a look backstage,5.0
h066,@SpotifyCares When I try to update payment info it won't let me bc I'm no longer a student. Do I have to cancel and re subscribe to premium?,"Hey! Don't worry, help's here. Could you send us a DM with your account's email address or username? We'll take a look backstage and help you sort this out!",Hey Charlie! The cavalry's here. Can you DM us your account's email address? We'll take a look under the hood,5.0
h067,"It’d be cool if you could look at the lyrics to a song you download right there in the app, rather than having to search for them. @115888 already does stuff with @9743 so why not make it a thing on all songs?",Hey! We can see how that’d be handy. Thanks for taking the time to reach out – your feedback's been noted 📝,"Hi Thomas! Thanks for your feedback. We'll pass it on to the right folks. For now, you can check out SoundHound:",5.0
h068,Damn bih i need to figure out how to get related artists on my @125633  TOO many Bay Area artists snappin... https://t.co/39AJv2P9u1,Thanks for the feedback — we've shared it with the team. DM us any details you'd like us to pass on.,Hey there! Related Artists aren’t manually curated. Check out for more info,3.0
h069,"yo @115888 why dont you have Goofy Movie's ""Stand Out"" on there, @757529 needs answers",Availability can vary by region/licensing. DM us the track/podcast name and your country.,"Hey there! Just to check, what country is your Spotify account set to?",5.0
h070,"@115888 hi, last month you had a #Laurynhill #live #megamix in a discovery playlist..... I NEED it in my life....can you find it?","Hey there! We’d love to have that mix for you, as music comes and goes based on licensing, but we’ll share your feedback with the team! 🎶","Hi there! Don't worry, help's here. Just to clarify, could you let us know the name of the song you're referring to?",5.0
h071,WHY DOESN'T SPOTIFY HAVE AN OPTION TO ORGANIZE SONGS BY GENRE IM MAD @115888,Hey there! We can see how that’d be useful. Thanks for taking the time to reach out – your feedback's been noted 📝,Hey Madi! We can see how that’d be useful. You can vote for the official idea here: 🙂,5.0
h072,"Mereka pake bhs. Inggris, intinya sy mau berhenti langganan, tp gabisa masuk akun.. Udh itu aja gausah dilempar sana sini, klo bisa bantu https://t.co/f3pNLe0xu6",You can manage or cancel Premium under Account > Subscription. DM us if you need a hand.,Hey Refki! We'd be happy to help you out in English here on Twitter. Could you DM us your account's email address? We'll check backstage,2.0
h073,@SpotifyCares When I try to update payment info it won't let me bc I'm no longer a student. Do I have to cancel and re subscribe to premium?,Thanks for flagging — please DM us the email on the account and we'll review the charge.,Hey Charlie! The cavalry's here. Can you DM us your account's email address? We'll take a look under the hood,5.0
h074,Why do I pay $10 a month for @115888 when it cuts out for 2 seconds like 20 times a song lol 🙃🙃,Hey there! That's definitely not what you pay Premium for. Can you let us know which device and operating system you're using? We'll see what we can suggest.,"Hey there! Can you let us know which device and operating system you're using? Also, is this happening over WiFi or 3G/4G?",5.0
h075,"@115888 Hi my name is Diana and I do not have an account with you guys, but I have recently had unauthorized charges on my bank account for Spotify since August 8, 2017 of $9.99. Multiple charges followed of the same amount September &amp; October.",Thanks for flagging — please DM us the email on the account and we'll review the charge.,"Hey Diana! Don't worry, we're here to help. Can you send us any email addresses you have via DM? We'll check backstage",3.0
h076,please have @248108 albums on @115888,"Hey there! We’d love to have all of his stuff available, but we have some info about content here:","Hey there! We’d love to have all of that available, but we have some info about content here:",5.0
h077,Hey @SpotifyCares My premium payment failed but my card is good! I've tried to re-enter my info but keep getting the same error message!,Thanks for flagging — please DM us the email on the account and we'll review the charge.,"Hey Colette! Don't worry, we can look into this for you. Can you DM us your account's email address? We'll check things backstage",5.0
h078,@SpotifyCares can i download podcasts to a samsung gear sport and listen to offline or it only works with music?,"Hey there! We can see how that’d be useful. While we don't have that info to share right now, we'll certainly let the right team know it's something you'd like to see! 🙂","Hey Alvaro! That'd be awesome, but it only works with music. We'll let the right team know it's something you'd like to see 😉",2.0
h079,I have been waiting over a year now for @115888 to be available in my country.,Hey there! We're launching in new countries as often as possible and understand the wait is frustrating. We're always working to bring Spotify to more places!,Hey there! We're launching in new countries as often as possible. Sign up here to be first to hear: 🙂,5.0
h080,"@SpotifyCares I am a Premium member and almost 8/10 times, a song will stop playing at 10 seconds and I will be forced to skip the song. Is there a way to fix this? I've already tried reinstalling the app several times.","Hey Owen, that doesn't sound right! Can you let us know the device, Android, and Spotify version you're using? We'll see what we can suggest",Hey there! That's not cool. What device and operating system are you using? We'll see what we can suggest,3.0
h081,@SpotifyCares please help! Just updated to iOS 11 and the widget keeps getting locked from lock screen on song I’m not actually on... https://t.co/W4lDN0tewQ,"Sorry for the trouble! Please DM us your device, OS, and app version so we can dig in.","Hey Seth, help's here! Can you let us know the iPhone model and Spotify version you're using? We'll see what we can suggest",3.0
h082,Old but gold. https://t.co/oUBeXgdaue,"Thanks! We've given the team a nudge. We recommend keeping an eye on your email. If you have any other questions, just shout",Hi! We've replied to your DM. Check your inbox 🙂,4.0
h083,@SpotifyCares - can't change my country to the US from the UK - please assist,Hey! Help's here. Can you DM us your account's username or email address? We'll see what we can suggest.,"Hey Michael! Do you get an error message when trying to change the country settings? If you do, can you send us a screenshot of it? Also, can you DM us your account's email address? We'll take a look backstage",5.0
h084,I have been waiting over a year now for @115888 to be available in my country.,Hey there! We're launching regularly in countries around the world. Be sure to add your email at,Hey there! We're launching in new countries as often as possible. Sign up here to be first to hear: 🙂,5.0
h085,please have @248108 albums on @115888,Availability can vary by region/licensing. DM us the track/podcast name and your country.,"Hey there! We’d love to have all of that available, but we have some info about content here:",5.0
h086,@SpotifyCares just sign up for the premium after Logging in seem is not can’t play any song like .,Hey there! Could you send us a DM with your account's email address or username? We'll take a look backstage.,"Hey Jonathan, help's here! Can you DM us your account's username and email address? We'll check it out 🔍",4.0
h087,@SpotifyCares Good morning to you guys! For some reason my payment for premium wont go thru. Still my card is working normal.,Hey there! We'll help out. Can you DM us your account's email address? We'll take a look under the hood,Hey! Can you DM us your account's username and email address? We'll take a look backstage,5.0
h088,@SpotifyCares can i download podcasts to a samsung gear sport and listen to offline or it only works with music?,Thanks for reaching out! DM us the details and we'll take a look.,"Hey Alvaro! That'd be awesome, but it only works with music. We'll let the right team know it's something you'd like to see 😉",2.0
h089,@SpotifyCares I’ve caught this unknown device a few times already. Should I change passwords? @389450 https://t.co/35sMHQxD1e,"Hey! Sorry to hear this is happening. Yes, changing your password and signing out everywhere is a great first step. Send us a DM and we'll take a closer look!",Hey! Help's here. Can you DM us your account's email address? We'll take a look backstage,5.0
h090,@SpotifyCares Good morning to you guys! For some reason my payment for premium wont go thru. Still my card is working normal.,Thanks for flagging — please DM us the email on the account and we'll review the charge.,Hey! Can you DM us your account's username and email address? We'll take a look backstage,5.0
h091,Why do I pay $10 a month for @115888 when it cuts out for 2 seconds like 20 times a song lol 🙃🙃,"Sorry for the trouble! Please DM us your device, OS, and app version so we can dig in.","Hey there! Can you let us know which device and operating system you're using? Also, is this happening over WiFi or 3G/4G?",5.0
h092,@115888 Where the hell are my buttons to access library and so on? #UIDisaster On th verge of switching if you don’t stop messing with the UI. https://t.co/NfDF1SH5pK,"Hey! Don’t worry, we can help. What’s happening exactly? Can you let us know the device and Spotify version you’re using? We'll see what we can suggest.","Hey Kyle, that's not cool! What Android and Spotify version are you using? We'll see what we can suggest",5.0
h093,"@115888 Hi my name is Diana and I do not have an account with you guys, but I have recently had unauthorized charges on my bank account for Spotify since August 8, 2017 of $9.99. Multiple charges followed of the same amount September &amp; October.","Hey Dylan, that's not cool! Can you DM us the best email address we can use to reach you? We'll help out backstage","Hey Diana! Don't worry, we're here to help. Can you send us any email addresses you have via DM? We'll check backstage",1.0
h094,@SpotifyCares Good morning to you guys! For some reason my payment for premium wont go thru. Still my card is working normal.,Good morning! Could you send us a DM with your account's email address? We'll take a look under the hood and help you get that sorted out.,Hey! Can you DM us your account's username and email address? We'll take a look backstage,5.0
h095,@SpotifyCares can’t log in to my account,We can help you get back in. Please DM us the email on the account (never your password).,"Hey Abdullah, help's here! Can you DM us your account's email address or username? We'll take a look backstage",5.0
h096,@115888 would be nice to have playlist specific shuffle settings.,Thanks for the feedback — we've shared it with the team. DM us any details you'd like us to pass on.,Hey Bruno! We can see how that’d be useful. You can show your support and vote for the official idea here: Give us a shout if you need anything and we'll come running 🏃,4.0
h097,WHY DOESN'T SPOTIFY HAVE AN OPTION TO ORGANIZE SONGS BY GENRE IM MAD @115888,Hey there! We can see how that’d be useful. You can vote for the official idea here:,Hey Madi! We can see how that’d be useful. You can vote for the official idea here: 🙂,5.0
h098,"@SpotifyCares Hi, i want to upgrade to premium. On computer i get the offer ""3. months for 99,00 kr."", but on playstation i dont see the offer. Is it possible to use this offer on playstation?",Hey there! The cavalry's here. Most promotional offers have specific signup terms and might need to be redeemed directly through our website. Can you DM us your account's email address? We'll take a look under the hood!,Hey Morten! We've just sent you a bit more info over DM. We'll carry on helping out there,5.0
h099,@SpotifyCares - can't change my country to the US from the UK - please assist,Hey Tony! Can you DM us your account's email address or username? We'll check backstage,"Hey Michael! Do you get an error message when trying to change the country settings? If you do, can you send us a screenshot of it? Also, can you DM us your account's email address? We'll take a look backstage",1.0
h100,@115888 please work with @127972 to make your Roku app better. It’s terrible. I just want to be able to access my library and playlists.,Hey Lindsay! What’s happening exactly? Let us know how we can help,Hey Richard! We have some info about the Spotify app on Roku here: Give us a shout if there's anything else,1.0
h101,"@SpotifyCares when can we expect an update for the roku app? The UI is dreadful, especially considering roku's my primary device.","Hi! We don't have any info on this right now, but rest assured your feedback will be passed on to the right folks","Hey! We don't have a specific timeline. Rest assured, your feedback is being heard while we work with Roku on the best path forwards",2.0
h102,"@SpotifyCares I need some help accessing my account, I have changed my email address so cannot use the reset password link. Please HEEELPP",We can help you get back in. Please DM us the email on the account (never your password).,Hey there! Can you DM us your account's email address? We'll take a look backstage,4.0
h103,@115888 please work with @127972 to make your Roku app better. It’s terrible. I just want to be able to access my library and playlists.,Hey there! Could you let us know more about the trouble you're having accessing your library and playlists on Roku? We'll be on the lookout for your reply!,Hey Richard! We have some info about the Spotify app on Roku here: Give us a shout if there's anything else,5.0
h104,"@SpotifyCares I need some help accessing my account, I have changed my email address so cannot use the reset password link. Please HEEELPP",Hi! Help's here. Can you DM us your account's email address or username? We'll take a look under the hood and see what we can do 🙂,Hey there! Can you DM us your account's email address? We'll take a look backstage,5.0
h105,@SpotifyCares I cannot log into my account. Unfortunately the email address I signed up with is no longer a working email address. How Can I cancel my subscription?,"Hi Cathal, help's here! Could you Dm us your email address and username? We'll take a look backstage 🔍",Hi! We've just sent you a bit more info over DM. We'll carry on helping out there,5.0
h106,@SpotifyCares I’ve caught this unknown device a few times already. Should I change passwords? @389450 https://t.co/35sMHQxD1e,We can help you get back in. Please DM us the email on the account (never your password).,Hey! Help's here. Can you DM us your account's email address? We'll take a look backstage,5.0
h107,@115888 needs to have an edit username option,We can help you get back in. Please DM us the email on the account (never your password).,"Hey Robert! We're afraid it’s currently not possible to change your Spotify username, but you have some options here: Any questions, just give us a shout",3.0
h108,@115888 but when will we be able to see how long our play queue is,Thanks for the feedback — we've shared it with the team. DM us any details you'd like us to pass on.,Hey! We have more info about the Play Queue at Let us know if there's anything else,3.0
h109,Is it only me? or @115888 browse is broken?,Hey there! Everything should be running smoothly now. Let us know if you're still getting issues with Browse and we'll take a closer look!,"Hi, help's here! Can you let us know your desktop's OS and Spotify versions? We'll see what we can suggest",3.0
h110,Damn bih i need to figure out how to get related artists on my @125633  TOO many Bay Area artists snappin... https://t.co/39AJv2P9u1,"Hey! That sounds like something for our Artist team. Could you DM us the email address tied to your account? We'll see what we can suggest, don't worry 🙂",Hey there! Related Artists aren’t manually curated. Check out for more info,5.0
h111,@SpotifyCares please help! Just updated to iOS 11 and the widget keeps getting locked from lock screen on song I’m not actually on... https://t.co/W4lDN0tewQ,Hey Aaron! That's not cool. Does logging out &gt; restarting the device &gt; logging back in help? Keep us posted,"Hey Seth, help's here! Can you let us know the iPhone model and Spotify version you're using? We'll see what we can suggest",5.0
