root_id,message,gold_intent,trivial_pred,simple_pred,llm_pred,llm_confidence,gold_escalate,pred_escalate,pred_escalate_reason
1366580,"Hey @SpotifyCares someone is using my Spotify account on devices I don't recognize, I think I may have been hacked. Help?",account_access,other,account_access,account_access,1.0,True,True,Escalate: message contains legal/security/risk language.
163745,@115888 when is Spotify going to be available in India??,other,other,other,other,1.0,False,False,"Auto-handle: 'other' with confidence 1.00, no risk signals."
2307200,@SpotifyCares can you help me log in,account_access,other,account_access,account_access,1.0,True,True,Escalate: 'account_access' is a sensitive intent (technical bug/account/billing/cancellation).
2848285,@115888 can you make a filter so I don’t have any Christmas music appearing on radio/playlists until after December 1?,feature_complaint,other,other,feature_complaint,0.95,False,False,"Auto-handle: 'feature_complaint' with confidence 0.95, no risk signals."
2165622,@115888 how you think it's ok to mix some weird shit like this right into my playlist? https://t.co/KZafoXaIaN,feature_complaint,other,other,feature_complaint,0.85,False,False,"Auto-handle: 'feature_complaint' with confidence 0.85, no risk signals."
2695684,"yo @115888 why dont you have Goofy Movie's ""Stand Out"" on there, @757529 needs answers",content_catalog,other,other,content_catalog,1.0,False,False,"Auto-handle: 'content_catalog' with confidence 1.00, no risk signals."
1248468,@SpotifyCares When I try to update payment info it won't let me bc I'm no longer a student. Do I have to cancel and re subscribe to premium?,billing_subscription,other,cancellation_refund,billing_subscription,0.95,True,True,Escalate: 'billing_subscription' is a sensitive intent (technical bug/account/billing/cancellation).
72084,hi @115888 is there a way I can see which device is playing from my spotify account ?,account_access,other,other,account_access,0.8,False,True,Escalate: 'account_access' is a sensitive intent (technical bug/account/billing/cancellation).
617471,Keep the flow with ad-free music. Premium is just S$0.99 for 3 months. https://t.co/sC193hVJar,other,other,other,other,0.95,False,False,"Auto-handle: 'other' with confidence 0.95, no risk signals."
190132,@115888 Good afternoon. I’ve been having issues signing into my account and I try to reset my password but it doesn’t send send me a link.,account_access,other,account_access,account_access,1.0,True,True,Escalate: 'account_access' is a sensitive intent (technical bug/account/billing/cancellation).
784244,"@117153 
Hello for 3 months in a row now every time I top up with Vodafone x premium with Spotify I don’t get my Spotify , sort it",billing_subscription,other,other,billing_subscription,0.95,True,True,Escalate: 'billing_subscription' is a sensitive intent (technical bug/account/billing/cancellation).
2316888,@SpotifyCares I was trapping to young dolph and then ho gotti came on and I'm very annoyed give me Spotify premium for free,other,other,other,feature_complaint,0.85,False,False,"Auto-handle: 'feature_complaint' with confidence 0.85, no risk signals."
2946131,"@SpotifyCares hi, how do i change the cover image of a playlist?",other,other,other,other,0.9,False,False,"Auto-handle: 'other' with confidence 0.90, no risk signals."
1968671,@SpotifyCares - my account is being consistently over-charged. Web chat help last month did not resolve. Please assist.,billing_subscription,other,billing_subscription,billing_subscription,0.95,True,True,Escalate: 'billing_subscription' is a sensitive intent (technical bug/account/billing/cancellation).
1814236,@115888 My Premium account (created with FB) is being hacked and being used right now! What can I do?! I can't block somone or change PW!!,account_access,other,account_access,account_access,1.0,True,True,Escalate: message contains legal/security/risk language.
2695172,"@SpotifyCares It looks like user Daan2112 hacked my account, added me as a follower, deleted my playlists and added their own. I've restored the playlists &amp; changed the PW but giving you the heads-up.",account_access,other,account_access,account_access,0.95,True,True,Escalate: message contains legal/security/risk language.
1737247,@148611 @SpotifyCares i just bought my spotify premium through dragonpay. its almost a day but i am still on spotify free.,billing_subscription,other,other,billing_subscription,0.95,True,True,Escalate: 'billing_subscription' is a sensitive intent (technical bug/account/billing/cancellation).
89569,@115888 I can't access any of my saved albums on my @121899 @127972 TV? I have a bunch of other ways to play my music on my PREMIUM PLAN ACCOUNT but I was hoping my smart TV could without searching for them all individually. This is all I see. All I can say is....Really?! https://t.co/1q7EcHwtev,feature_complaint,other,content_catalog,technical_bug,0.85,False,True,Escalate: 'technical_bug' is a sensitive intent (technical bug/account/billing/cancellation).
2646418,"@SpotifyCares do you ever plan to add an option to hide explicit songs? 54 pages of requests on your site for this, since 2012! you tag the songs already, so it sounds like a plausible feature request. parents moving to google/apple etc. please fix!",feature_complaint,other,content_catalog,feature_complaint,0.98,False,False,"Auto-handle: 'feature_complaint' with confidence 0.98, no risk signals."
2552634,"wait, why is take care off of @115888 !?",content_catalog,other,other,content_catalog,0.95,False,False,"Auto-handle: 'content_catalog' with confidence 0.95, no risk signals."
2095139,"It’d be cool if you could look at the lyrics to a song you download right there in the app, rather than having to search for them. @115888 already does stuff with @9743 so why not make it a thing on all songs?",feature_complaint,other,content_catalog,feature_complaint,0.95,False,False,"Auto-handle: 'feature_complaint' with confidence 0.95, no risk signals."
2264790,"Hey @115888 if I get 10k retweets can we get "" Hey Now "" from The Lizzie McGuire Movie on Spotify ?!?",content_catalog,other,other,content_catalog,0.95,False,False,"Auto-handle: 'content_catalog' with confidence 0.95, no risk signals."
55239,"@115888 I can't access my account. If I create a new account,how do I cancel the old one?",cancellation_refund,other,cancellation_refund,account_access,0.9,True,True,Escalate: 'account_access' is a sensitive intent (technical bug/account/billing/cancellation).
1313514,"@SpotifyCares just got charged for premium, i was meant to cancel before it charged me so i've just canceled right now can i get a refund??",cancellation_refund,other,cancellation_refund,cancellation_refund,1.0,True,True,Escalate: 'cancellation_refund' is a sensitive intent (technical bug/account/billing/cancellation).
987257,Dear @115888 premium I don't pay you $9.99 a month for you to overdraw my bank account and surprise me with Jacob Sartorious in my playlist,feature_complaint,other,billing_subscription,billing_subscription,0.9,False,True,Escalate: 'billing_subscription' is a sensitive intent (technical bug/account/billing/cancellation).
675313,"Hey @115888, my account got hacked, email address changed. I wrote you an email and haven't heard from you yet. Will you reply before Christmas?",account_access,other,account_access,account_access,0.95,True,True,Escalate: message contains legal/security/risk language.
142167,how is whitney houston in my release radar @116130? love you but u ok hun?,feature_complaint,other,other,content_catalog,0.85,False,False,"Auto-handle: 'content_catalog' with confidence 0.85, no risk signals."
2144245,Almost a week in and still no @115888 update for the #iPhoneX while lesser known 3rd party apps are already on the bandwagon ... smh ...,feature_complaint,other,other,feature_complaint,0.95,False,False,"Auto-handle: 'feature_complaint' with confidence 0.95, no risk signals."
1618991,I’m about 90% done with @115888 right now. I’m really feeling like a switch needs to happen.,feature_complaint,other,other,feature_complaint,0.7,False,False,"Auto-handle: 'feature_complaint' with confidence 0.70, no risk signals."
2699555,I need help @SpotifyCares i got a new phone and cant get back into my premium account please help me find it,account_access,other,account_access,account_access,0.95,True,True,Escalate: 'account_access' is a sensitive intent (technical bug/account/billing/cancellation).
1772015,@115888 what happened to the search button on the iphone X?,technical_bug,other,other,feature_complaint,0.85,True,False,"Auto-handle: 'feature_complaint' with confidence 0.85, no risk signals."
1043586,"Set up @115888 acct 2day. Even tho specifically said not 2 connect 2 FB, still received email FB acct was reactivated. #falseadvertising",account_access,other,other,feature_complaint,0.85,True,False,"Auto-handle: 'feature_complaint' with confidence 0.85, no risk signals."
1963243,@115888 im trying to update my payment info for my premium subscription but it keeps saying my CSRF token is invalid. Can you help at all?,billing_subscription,other,billing_subscription,billing_subscription,0.95,True,True,Escalate: 'billing_subscription' is a sensitive intent (technical bug/account/billing/cancellation).
866310,Spotify is broken and annoying @115888 sort ittttttt,technical_bug,other,technical_bug,technical_bug,0.9,False,True,Escalate: 'technical_bug' is a sensitive intent (technical bug/account/billing/cancellation).
529238,"Be careful what you sign up for‼️ I’m essentially paying $84.98 this month for a student Spotify &amp; Hulu bundle. Ya, $4.99 was too good to be true. Very disappointed @115888",billing_subscription,other,other,billing_subscription,0.95,True,True,Escalate: 'billing_subscription' is a sensitive intent (technical bug/account/billing/cancellation).
387708,"@115888 hi, last month you had a #Laurynhill #live #megamix in a discovery playlist..... I NEED it in my life....can you find it?",content_catalog,other,other,content_catalog,0.95,False,False,"Auto-handle: 'content_catalog' with confidence 0.95, no risk signals."
2402479,@SpotifyCares I downloaded some playlists to listen offline last week &amp; it still worked just a couple days ago but today I found out that the playlists were no longer downloaded.I had to go online &amp; download them again. Its happened a few times now.Is it supposed to be like that?,technical_bug,other,technical_bug,technical_bug,0.95,True,True,Escalate: 'technical_bug' is a sensitive intent (technical bug/account/billing/cancellation).
1584827,"@SpotifyCares please DM me, I’m having an issue logging in",account_access,other,other,account_access,1.0,True,True,Escalate: 'account_access' is a sensitive intent (technical bug/account/billing/cancellation).
869687,@116130 is there away I can incorporate my playlists with @35437 software?,other,other,other,technical_bug,0.8,False,True,Escalate: 'technical_bug' is a sensitive intent (technical bug/account/billing/cancellation).
2043851,@115888 @SpotifyCares is Spotify going to be available in the Middle-Eastern countries in the future?,other,other,other,other,1.0,False,False,"Auto-handle: 'other' with confidence 1.00, no risk signals."
2485956,"@SpotifyCares hi, my Spotify keeps pausing while I'm listening to music. I've tried reinstalling the app but it's still happening",technical_bug,other,technical_bug,technical_bug,0.99,True,True,Escalate: 'technical_bug' is a sensitive intent (technical bug/account/billing/cancellation).
2042004,spotify isn't working.... again,technical_bug,other,other,technical_bug,0.95,True,True,Escalate: 'technical_bug' is a sensitive intent (technical bug/account/billing/cancellation).
488785,"@115888 fix ’add to queue’ please... if I queue a song from playlist, I don’t want it to play again later",feature_complaint,other,content_catalog,feature_complaint,0.9,False,False,"Auto-handle: 'feature_complaint' with confidence 0.90, no risk signals."
43442,Changed to a new phone @115888 will not allow me to sign into the app through fb and I've changed both passwords! Help asap @SpotifyCares,account_access,other,account_access,account_access,0.95,True,True,Escalate: 'account_access' is a sensitive intent (technical bug/account/billing/cancellation).
41775,I wish @115888 had a feature that allowed you to add artists/songs to a 'don't play ever' list. Won't name names in public. https://t.co/6cgfiKvrHA,feature_complaint,other,content_catalog,feature_complaint,0.95,False,False,"Auto-handle: 'feature_complaint' with confidence 0.95, no risk signals."
608247,@115888 every time I pause my music to watch a video on Twitter I have to kill the Spotify app and reopen it just so my music will play again. Send help pls and thnx.,technical_bug,other,technical_bug,technical_bug,0.95,True,True,Escalate: 'technical_bug' is a sensitive intent (technical bug/account/billing/cancellation).
1537076,"@SpotifyCares I need some help accessing my account, I have changed my email address so cannot use the reset password link. Please HEEELPP",account_access,other,account_access,account_access,1.0,True,True,Escalate: 'account_access' is a sensitive intent (technical bug/account/billing/cancellation).
2610821,@115888 @SpotifyCares https://t.co/J4Vb5mwykb,other,other,other,other,0.5,False,True,Escalate: classifier confidence 0.50 below 0.55.
199193,@115888 can you please take this song out of the intense studying playlist because the ‘hello’ scared the absolute crap out of me studying😫 https://t.co/uvGDPJesnM,feature_complaint,other,content_catalog,content_catalog,0.8,False,False,"Auto-handle: 'content_catalog' with confidence 0.80, no risk signals."
2295552,Why isn’t #reputation on @115888 or @116380 yet? Like Come on! It released 2 days ago and it still isn’t there 😭😭,content_catalog,other,other,content_catalog,1.0,False,False,"Auto-handle: 'content_catalog' with confidence 1.00, no risk signals."
681872,@SpotifyCares can I change the download limit on my phone? To be able to download more songs?,feature_complaint,other,content_catalog,feature_complaint,0.85,False,False,"Auto-handle: 'feature_complaint' with confidence 0.85, no risk signals."
1346667,"@SpotifyCares I'm from Slovenia. Here is no @115888. I'm using different metod to use Spotify. But here is no premium. You are welcome in Slovenia. Come here,  please! 
*Website can also be in English",other,other,other,other,1.0,False,False,"Auto-handle: 'other' with confidence 1.00, no risk signals."
2678323,@115888 trying to update my payment details and it takes me to this page and does not accept my NUS card number? NUS doesn't expire until 2020 https://t.co/9BMgYBiI6N,billing_subscription,other,billing_subscription,billing_subscription,0.95,True,True,Escalate: 'billing_subscription' is a sensitive intent (technical bug/account/billing/cancellation).
2538273,"When you get access to Spotify for Artists, you’re automatically verified on Spotify and you get that little blue check mark. Do you have yours yet? https://t.co/RbpuQdjYMQ https://t.co/b7BxpsxmA2",other,other,other,other,1.0,False,False,"Auto-handle: 'other' with confidence 1.00, no risk signals."
2095150,"@118266 hi, saya mau memastikan, premium fee bulanan masih 49.990 kan? pulsa saya sudah 62.000 tapi mengapa masih 'unable to renew your subscription because of payment problem' ya? tks",billing_subscription,other,billing_subscription,billing_subscription,0.95,True,True,Escalate: 'billing_subscription' is a sensitive intent (technical bug/account/billing/cancellation).
44423,"@SpotifyCares Hi, i want to upgrade to premium. On computer i get the offer ""3. months for 99,00 kr."", but on playstation i dont see the offer. Is it possible to use this offer on playstation?",billing_subscription,other,other,billing_subscription,0.95,False,True,Escalate: 'billing_subscription' is a sensitive intent (technical bug/account/billing/cancellation).
2259585,@115888 Where the hell are my buttons to access library and so on? #UIDisaster On th verge of switching if you don’t stop messing with the UI. https://t.co/NfDF1SH5pK,feature_complaint,other,other,feature_complaint,0.95,False,False,"Auto-handle: 'feature_complaint' with confidence 0.95, no risk signals."
2026579,"I have Spotify premium and my music won't play, even on wifi. Cool thanks for wasting my money. @115888",technical_bug,other,technical_bug,technical_bug,0.95,True,True,Escalate: 'technical_bug' is a sensitive intent (technical bug/account/billing/cancellation).
1749853,WHY DOESN'T SPOTIFY HAVE AN OPTION TO ORGANIZE SONGS BY GENRE IM MAD @115888,feature_complaint,other,content_catalog,feature_complaint,0.95,False,False,"Auto-handle: 'feature_complaint' with confidence 0.95, no risk signals."
2896723,@SpotifyCares just sign up for the premium after Logging in seem is not can’t play any song like .,technical_bug,other,content_catalog,billing_subscription,0.85,True,True,Escalate: 'billing_subscription' is a sensitive intent (technical bug/account/billing/cancellation).
1353061,"@SpotifyCares Hi, you've charged me twice when I signed up - once student and once regular. Please refund",cancellation_refund,other,billing_subscription,cancellation_refund,1.0,True,True,Escalate: 'cancellation_refund' is a sensitive intent (technical bug/account/billing/cancellation).
1898254,@117168 how do I block a boogie and the other clown that jumped @15387 from playing on my shit? We done condone that fuckery,content_catalog,other,content_catalog,feature_complaint,0.85,False,False,"Auto-handle: 'feature_complaint' with confidence 0.85, no risk signals."
845929,@SpotifyCares sharing function from iOS 10 to android on whatsapp not working. Showing as not found on android e.g. https://t.co/3L0nrV2qVF,technical_bug,other,technical_bug,technical_bug,0.95,True,True,Escalate: 'technical_bug' is a sensitive intent (technical bug/account/billing/cancellation).
2190856,I hate the @115888 premium ad far more than the actual ads,feature_complaint,other,other,feature_complaint,0.95,False,False,"Auto-handle: 'feature_complaint' with confidence 0.95, no risk signals."
442477,Full Screen @115888 is so stunning 😍.. more please @SpotifyCares #spotify #thunder #ImagineDragons https://t.co/qPTmThnYoA,other,other,other,other,1.0,False,False,"Auto-handle: 'other' with confidence 1.00, no risk signals."
703199,@SpotifyCares when is spotify coming to romania :/,other,other,other,other,1.0,False,False,"Auto-handle: 'other' with confidence 1.00, no risk signals."
1043543,"@SpotifyCares I am a Premium member and almost 8/10 times, a song will stop playing at 10 seconds and I will be forced to skip the song. Is there a way to fix this? I've already tried reinstalling the app several times.",technical_bug,other,technical_bug,technical_bug,1.0,True,True,Escalate: 'technical_bug' is a sensitive intent (technical bug/account/billing/cancellation).
2004023,@SpotifyCares need help to transfer my old facebook account to current spotify account and deactivate old account,account_access,other,account_access,account_access,0.95,True,True,Escalate: 'account_access' is a sensitive intent (technical bug/account/billing/cancellation).
2032670,@SpotifyCares can i download podcasts to a samsung gear sport and listen to offline or it only works with music?,feature_complaint,other,technical_bug,other,0.9,False,False,"Auto-handle: 'other' with confidence 0.90, no risk signals."
2335104,"@SpotifyCares Hey there, can you guys possibly help with an error i'm receiving when trying to activate my hulu student package?",technical_bug,other,technical_bug,billing_subscription,0.95,True,True,Escalate: 'billing_subscription' is a sensitive intent (technical bug/account/billing/cancellation).
2713285,"@SpotifyCares I can't get two of my local file playlists to download. I have made more space on my phone, removed the firewall, and deleted/downloaded the app like the community says with no success. These are albums not on Spotify, so I have no other way to listen. Suggestions?",technical_bug,other,content_catalog,technical_bug,0.95,True,True,Escalate: 'technical_bug' is a sensitive intent (technical bug/account/billing/cancellation).
371970,Ugh. So tired of @115888 logging me out and ditching all of my downloads.,technical_bug,other,other,account_access,0.9,True,True,Escalate: 'account_access' is a sensitive intent (technical bug/account/billing/cancellation).
1910217,"@SpotifyCares when can we expect an update for the roku app? The UI is dreadful, especially considering roku's my primary device.",feature_complaint,other,feature_complaint,feature_complaint,0.95,False,False,"Auto-handle: 'feature_complaint' with confidence 0.95, no risk signals."
861396,@115888 need to do student discount but link it to @192177 as well! So need to get premium!!,billing_subscription,other,other,billing_subscription,0.95,True,True,Escalate: 'billing_subscription' is a sensitive intent (technical bug/account/billing/cancellation).
1963919,Hey @SpotifyCares My premium payment failed but my card is good! I've tried to re-enter my info but keep getting the same error message!,billing_subscription,other,billing_subscription,billing_subscription,0.95,True,True,Escalate: 'billing_subscription' is a sensitive intent (technical bug/account/billing/cancellation).
2920672,"@117153 Spotify is down in Brazil. There's no error message, but i don't be able to play any music",technical_bug,other,technical_bug,technical_bug,0.95,True,True,Escalate: 'technical_bug' is a sensitive intent (technical bug/account/billing/cancellation).
2919276,Is @SpotifyCares is Spotify down I’m having a lot of issues #SpotifyDown,technical_bug,other,other,technical_bug,0.95,True,True,Escalate: 'technical_bug' is a sensitive intent (technical bug/account/billing/cancellation).
1807244,@115888 v dissappointed in your Customer support. Said they sorted out issue switching from Premium to Family but 2nd month charged both 👎,billing_subscription,other,billing_subscription,billing_subscription,0.95,True,True,Escalate: 'billing_subscription' is a sensitive intent (technical bug/account/billing/cancellation).
883462,I love how I just tried to import a 1020-song playlist from iTunes into @115888 and it gave me one with 8 tracks. Good use of my time!,technical_bug,other,content_catalog,technical_bug,0.95,True,True,Escalate: 'technical_bug' is a sensitive intent (technical bug/account/billing/cancellation).
994571,@SpotifyCares app logged me out and was set to offline. Won't let me log in because of that and can't change it because i can't log in-help?,account_access,other,account_access,account_access,0.95,True,True,Escalate: 'account_access' is a sensitive intent (technical bug/account/billing/cancellation).
2242866,@SpotifyCares why some artists like Hillsong United (fromAustralia) and Tiago Iorc (fromBrazil) albums are not playing anymore on Spotify US,content_catalog,other,content_catalog,content_catalog,0.95,False,False,"Auto-handle: 'content_catalog' with confidence 0.95, no risk signals."
2776181,"Despite logging out of everywhere and changing my password, someone is STILL using my @116130 account and saving their own playlists?!",account_access,other,account_access,account_access,0.95,True,True,Escalate: 'account_access' is a sensitive intent (technical bug/account/billing/cancellation).
964412,@SpotifyCares need help with family account showing one user as free. Can you help? Can’t get to work.,billing_subscription,other,other,billing_subscription,0.95,True,True,Escalate: 'billing_subscription' is a sensitive intent (technical bug/account/billing/cancellation).
2512094,@SpotifyCares Good morning to you guys! For some reason my payment for premium wont go thru. Still my card is working normal.,billing_subscription,other,billing_subscription,billing_subscription,0.95,True,True,Escalate: 'billing_subscription' is a sensitive intent (technical bug/account/billing/cancellation).
1815462,Why can't I listen to @494287 Sunny Days on @115888 ? I'm premium member and from The Netherlands 😭,content_catalog,other,other,content_catalog,0.95,False,False,"Auto-handle: 'content_catalog' with confidence 0.95, no risk signals."
324629,Old but gold. https://t.co/oUBeXgdaue,other,other,other,other,1.0,False,False,"Auto-handle: 'other' with confidence 1.00, no risk signals."
1803988,@115888 why were all my downloads removed after a restart of my phone? #BigFail,technical_bug,other,content_catalog,technical_bug,0.95,True,True,Escalate: 'technical_bug' is a sensitive intent (technical bug/account/billing/cancellation).
1774188,"Hey could you put back the song preview function pls, thanks. @115888",feature_complaint,other,content_catalog,feature_complaint,0.95,False,False,"Auto-handle: 'feature_complaint' with confidence 0.95, no risk signals."
453445,@117168 when are you going to fix the glitch that removes all of my songs from my downloads every other day? Having songs downloaded is literally one of the promoted features of paying for premium. This is ridiculous.,technical_bug,other,content_catalog,technical_bug,0.95,True,True,Escalate: 'technical_bug' is a sensitive intent (technical bug/account/billing/cancellation).
415242,@115888 give me back the ability to send music to my friends. Only reason I signed up in the first place.,feature_complaint,other,other,feature_complaint,0.95,False,False,"Auto-handle: 'feature_complaint' with confidence 0.95, no risk signals."
1949976,@115888 make it easier to create playlists. Make it easier to delete songs off of playlists. That is all. great job other than that,feature_complaint,other,content_catalog,feature_complaint,0.95,False,False,"Auto-handle: 'feature_complaint' with confidence 0.95, no risk signals."
980320,"@SpotifyCares Hi Spotify, I paid for Spotify Premium (student discount version) however forgot to about it, didn't upload any proof then",billing_subscription,other,billing_subscription,billing_subscription,0.95,True,True,Escalate: 'billing_subscription' is a sensitive intent (technical bug/account/billing/cancellation).
1522809,@115888 @SpotifyCares plz change @133324 information? 'Rap Monster' is now known as RM- also could you add Taehyungs acting career 🧡🧡🧡,content_catalog,other,other,content_catalog,0.9,False,False,"Auto-handle: 'content_catalog' with confidence 0.90, no risk signals."
128866,@115888 Why only five JAY Z song's? https://t.co/UjlWCfsSKB,content_catalog,other,content_catalog,content_catalog,0.95,False,False,"Auto-handle: 'content_catalog' with confidence 0.95, no risk signals."
1797204,@SpotifyCares can’t log in to my account,account_access,other,account_access,account_access,1.0,True,True,Escalate: 'account_access' is a sensitive intent (technical bug/account/billing/cancellation).
450882,@117153 Why is the search function not working properly. It is just spinning when I try to search for artists? It is very annoying. With gratitude for help.,technical_bug,other,technical_bug,technical_bug,0.95,True,True,Escalate: 'technical_bug' is a sensitive intent (technical bug/account/billing/cancellation).
1825044,"I can’t be the only one with #Spotify control issues on #iPhone, after the latest @115888 update I can’t control it outside the app...help!",technical_bug,other,technical_bug,technical_bug,0.95,True,True,Escalate: 'technical_bug' is a sensitive intent (technical bug/account/billing/cancellation).
725987,@115888 Why do I have to ALWAYS connect me on Spotify Web ? (I'm connecting with facebook login),account_access,other,account_access,account_access,0.9,False,True,Escalate: 'account_access' is a sensitive intent (technical bug/account/billing/cancellation).
1068057,@SpotifyCares excuse me can y’all help me? I believe you guys messed up my account which messed up the billing as well,billing_subscription,other,other,billing_subscription,0.85,True,True,Escalate: 'billing_subscription' is a sensitive intent (technical bug/account/billing/cancellation).
1991982,"@SpotifyCares Hey spotify, my fam cant get on the family plan and ive sent the email and entered the premium code for them.",billing_subscription,other,other,billing_subscription,0.95,True,True,Escalate: 'billing_subscription' is a sensitive intent (technical bug/account/billing/cancellation).
262283,daily tweet saying how annoyed i am that Pabllo Vittar's music is not on spotify UK. sort it out @13399 @SpotifyCares @116130,content_catalog,other,other,content_catalog,0.95,False,False,"Auto-handle: 'content_catalog' with confidence 0.95, no risk signals."
1659445,"WHY THE FUCK ISNT ACTIVE CHILD’S “YOU ARE ALL I SEE” ALBUM NOT ON @115888 !?!?!?
WTF #SPOTIFY ? I need answers https://t.co/BLe5SpzAyS",content_catalog,other,content_catalog,content_catalog,0.98,False,False,"Auto-handle: 'content_catalog' with confidence 0.98, no risk signals."
1602811,.@115888 ...put the LG tv app back. Why do you hate me?,feature_complaint,other,other,feature_complaint,0.95,False,False,"Auto-handle: 'feature_complaint' with confidence 0.95, no risk signals."
1497420,Man I love Spotify.. They know how to put you on to new music similar to what u already listen to 👏🏾👏🏾👏🏾,other,other,other,other,1.0,False,False,"Auto-handle: 'other' with confidence 1.00, no risk signals."
585109,"@117153 hi i have sign up under premium but cant download anything, it require me to re-do it again pls help to check :)",billing_subscription,other,other,billing_subscription,0.95,True,True,Escalate: 'billing_subscription' is a sensitive intent (technical bug/account/billing/cancellation).
1746275,Hmm @115888 nagging me to review the app even though... https://t.co/yoWomdPPCP,feature_complaint,other,other,feature_complaint,0.85,False,False,"Auto-handle: 'feature_complaint' with confidence 0.85, no risk signals."
1869344,@spotifycares can't log in from computer. Dowloaded latest app...this is how I get a hold of you 4 help??? Maybe I'll contact #tidal,account_access,other,account_access,account_access,0.95,True,True,Escalate: 'account_access' is a sensitive intent (technical bug/account/billing/cancellation).
2686213,"@115888 if I pay for premium the obnoxious ""Shuffle Play"" button should go away.",feature_complaint,other,feature_complaint,feature_complaint,0.95,False,False,"Auto-handle: 'feature_complaint' with confidence 0.95, no risk signals."
1654367,@SpotifyCares OR will it charge me the full amount twice??,billing_subscription,other,billing_subscription,billing_subscription,0.95,True,True,Escalate: 'billing_subscription' is a sensitive intent (technical bug/account/billing/cancellation).
328666,@115888 the app won’t stop running in the background and took my battery from 90 to 50 in few min. Deleted the app and battery ok. Help?,technical_bug,other,technical_bug,technical_bug,0.99,True,True,Escalate: 'technical_bug' is a sensitive intent (technical bug/account/billing/cancellation).
502670,"@SpotifyCares 
""Click to install new update""..... *spotify closes*...... 
now won't open or install.  
Not even after complete removal &amp; attempted web download. 
Suggestions? 
Windows 7 app https://t.co/tlqorQWLP1",technical_bug,other,technical_bug,technical_bug,0.98,True,True,Escalate: 'technical_bug' is a sensitive intent (technical bug/account/billing/cancellation).
2476388,Ok @115888 keeps skipping my favorite song and I dont know why smh,technical_bug,other,content_catalog,technical_bug,0.9,True,True,Escalate: 'technical_bug' is a sensitive intent (technical bug/account/billing/cancellation).
1064074,@116130 Why is my premium account telling me I’ve reached my download limit ??,technical_bug,other,other,technical_bug,0.95,True,True,Escalate: 'technical_bug' is a sensitive intent (technical bug/account/billing/cancellation).
280232,Hello @116130 your service no longer seems to be compatible with my Google Chromecast. Have you withdrawn this service?,technical_bug,other,other,technical_bug,0.9,True,True,Escalate: 'technical_bug' is a sensitive intent (technical bug/account/billing/cancellation).
1767677,@hulu_support @SpotifyCares Hulu randomly stopped working with my spotify account. Can I please have some help?,technical_bug,other,other,technical_bug,0.95,True,True,Escalate: 'technical_bug' is a sensitive intent (technical bug/account/billing/cancellation).
1217795,Is it only me? or @115888 browse is broken?,technical_bug,other,technical_bug,technical_bug,0.95,True,True,Escalate: 'technical_bug' is a sensitive intent (technical bug/account/billing/cancellation).
1930413,.@116130 why haven't you integrated your app with an alarm clock yet? #goodfeels #wakemeup,feature_complaint,other,other,feature_complaint,1.0,False,False,"Auto-handle: 'feature_complaint' with confidence 1.00, no risk signals."
