item_id,message,reply,reference,human_overall
h26,@SpotifyCares When I try to update payment info it won't let me bc I'm no longer a student. Do I have to cancel and re subscribe to premium?,"Hey! Don't worry, help's here. Could you send us a DM with your account's email address or username? We'll take a look backstage and help you sort this out!",Hey Charlie! The cavalry's here. Can you DM us your account's email address? We'll take a look under the hood,
h27,"@117153 Hi, can you link UPPBEAT - Embers (feat. Lawriii Craic &amp; Red The Future) to my Red The Future spotify account?",Thanks for reaching out! DM us the details and we'll take a look.,Hey there! We’d recommend reaching out to your distributor. They'll work with our team to make sure your artist page gets fixed up,
h28,@115888 but when will we be able to see how long our play queue is,Thanks for the feedback — we've shared it with the team. DM us any details you'd like us to pass on.,Hey! We have more info about the Play Queue at Let us know if there's anything else,
h29,Keep the flow with ad-free music. Premium is just S$0.99 for 3 months. https://t.co/sC193hVJar,Thanks for reaching out! DM us the details and we'll take a look.,Hey Wendy! Can you DM us your account's email address? We'll take a look backstage,
h30,@115888 would be nice to have playlist specific shuffle settings.,Hey! We can see how having playlist-specific shuffle settings would be handy. Thanks for taking the time to reach out—your feedback's been noted 📝,Hey Bruno! We can see how that’d be useful. You can show your support and vote for the official idea here: Give us a shout if you need anything and we'll come running 🏃,
h31,@hulu_support @SpotifyCares Hulu randomly stopped working with my spotify account. Can I please have some help?,"Hey there, help's here! Can you DM us your account's email address? We'll take a look under the hood.",Hey there! Is there anything we can help with? Just let us know what's happening exactly. We'd love to lend a hand,
h32,hey @SpotifyCares theres something wrong with my client can you help,Hey there! That doesn't sound good. Could you let us know what's happening with the app and what device you're using? We'll see what we can suggest.,Hey there! What's happening exactly? Could you DM us you account's username and email address? We'll see what we can suggest,
h33,@115888 Where the hell are my buttons to access library and so on? #UIDisaster On th verge of switching if you don’t stop messing with the UI. https://t.co/NfDF1SH5pK,"Hey Christopher! We appreciate your feedback, and we'll be sure to let the right folks know it's a feature you'd like to see","Hey Kyle, that's not cool! What Android and Spotify version are you using? We'll see what we can suggest",
h34,Hmm @115888 nagging me to review the app even though... https://t.co/yoWomdPPCP,Hi there! Can you let us know the iOS and Spotify versions you’re using? We'll see what we can suggest,"Hey there! Can you let us know the device, operating system, and app version you're using? We'll see what we can suggest",
h35,Hey @SpotifyCares My premium payment failed but my card is good! I've tried to re-enter my info but keep getting the same error message!,Thanks for flagging — please DM us the email on the account and we'll review the charge.,"Hey Colette! Don't worry, we can look into this for you. Can you DM us your account's email address? We'll check things backstage",
h36,Old but gold. https://t.co/oUBeXgdaue,"Hey there, help's here! Could you DM us your account's email address? We'll take a look backstage 💚",Hi! We've replied to your DM. Check your inbox 🙂,
h37,"@SpotifyCares I need some help accessing my account, I have changed my email address so cannot use the reset password link. Please HEEELPP",Hey Lindsay! We'll help out. Can you DM us your account's email address or username? We'll take a look under the hood,Hey there! Can you DM us your account's email address? We'll take a look backstage,
h38,@SpotifyCares when is spotify coming to romania :/,"Hey there! We're launching in new countries as often as possible, but we don't have any updates on Romania just yet. We'll definitely let the right team know you'd like to see us there. Let us know if you have other questions!","Soon, we hope! We're launching in new countries as often as possible. Sign up here to be first to hear:",
h39,Damn bih i need to figure out how to get related artists on my @125633  TOO many Bay Area artists snappin... https://t.co/39AJv2P9u1,"Hey! This sounds like something for our Artist team. You can reach them here: If you've reached out already, can you DM us your email address? We'll chase it up, don't worry",Hey there! Related Artists aren’t manually curated. Check out for more info,
h40,@SpotifyCares - can't change my country to the US from the UK - please assist,Hey! Help's here. Can you DM us your account's username or email address? We'll see what we can suggest.,"Hey Michael! Do you get an error message when trying to change the country settings? If you do, can you send us a screenshot of it? Also, can you DM us your account's email address? We'll take a look backstage",
